PATHWAY_URI	DATASOURCE	DISPLAY_NAME	ALL_NAMES	NUM_DIRECT_COMPONENT_OR_STEP_PROCESSES
http://pathwaycommons.org/pc2/Pathway_4b2b828560c300ae6c1a234c2b241a73	INOH	Toll-like receptor signaling pathway (p38 cascade) ( Toll-like receptor signaling pathway (p38 cascade) ) 	Toll-like receptor signaling pathway (p38 cascade) ( Toll-like receptor signaling pathway (p38 cascade) ) ;	26
http://pathwaycommons.org/pc2/Pathway_0852d160033a22ffcfeae4ba5f9a59d0	INOH	D-Glucose 6-phosphate = D-Fructose 6-phosphate ( Fructose and Mannose metabolism ) 	D-Glucose 6-phosphate = D-Fructose 6-phosphate ( Fructose and Mannose metabolism ) ;	2
http://identifiers.org/reactome/R-HSA-1251932	Reactome	PLCG1 events in ERBB2 signaling	PLCG1 events in ERBB2 signaling;	5
http://identifiers.org/reactome/R-HSA-1251985	Reactome	Nuclear signaling by ERBB4	Nuclear signaling by ERBB4;	35
http://identifiers.org/reactome/R-HSA-901032	Reactome	ER Quality Control Compartment (ERQC)	ER Quality Control Compartment (ERQC);	26
http://identifiers.org/reactome/R-HSA-901042	Reactome	Calnexin/calreticulin cycle	Calnexin/calreticulin cycle;	11
http://pathwaycommons.org/pc2/Pathway_dcc761662966f98efcaa03d7091213fe	pid	Arf6 downstream pathway	"arf6downstreampathway;""Arf6 downstream pathway"";"	47
http://pathwaycommons.org/pc2/Pathway_db8d7e36f692ec3fcdc22a35a051f34d	INOH	Dimethylallyl diphosphate = Isopentenyl diphosphate ( Steroids metabolism ) 	Dimethylallyl diphosphate = Isopentenyl diphosphate ( Steroids metabolism ) ;	3
http://pathwaycommons.org/pc2/Pathway_b659338a588a7229c5f6967e0462e6e7	INOH	JNK cascade ( CD4 T cell receptor signaling (JNK cascade) ) 	JNK cascade ( CD4 T cell receptor signaling (JNK cascade) ) ;	5
http://pathwaycommons.org/pc2/Pathway_55a94cf8e70c29d9b380ec98182b350c	INOH	Inactivation of Ptc by Hh ( Hedgehog signaling pathway ) 	Inactivation of Ptc by Hh ( Hedgehog signaling pathway ) ;	1
http://pathwaycommons.org/pc2/Pathway_43e05bd36bd327829396cb8f2ae87429	HumanCyc	arginine degradation VI (arginase 2 pathway)	"arginine degradation VI (arginase 2 pathway);""proline biosynthesis from arginine"";"	60
http://pathwaycommons.org/pc2/Pathway_d3d7de34d71b571624fedeb15dd4795d	INOH	2-Oxo-glutaric acid + L-Tyrosine = L-Glutamic acid + 4-Hydroxy-phenyl-pyruvic acid ( Tyrosine metabolism ) 	2-Oxo-glutaric acid + L-Tyrosine = L-Glutamic acid + 4-Hydroxy-phenyl-pyruvic acid ( Tyrosine metabolism ) ;	2
http://identifiers.org/reactome/R-HSA-629602	Reactome	Activation of Nicotinic Acetylcholine Receptors	Activation of Nicotinic Acetylcholine Receptors;	4
http://identifiers.org/reactome/R-HSA-629587	Reactome	Highly sodium permeable acetylcholine nicotinic receptors	Highly sodium permeable acetylcholine nicotinic receptors;	5
http://identifiers.org/reactome/R-HSA-629594	Reactome	Highly calcium permeable postsynaptic nicotinic acetylcholine receptors	Highly calcium permeable postsynaptic nicotinic acetylcholine receptors;	5
http://identifiers.org/reactome/R-HSA-629597	Reactome	Highly calcium permeable nicotinic acetylcholine receptors	Highly calcium permeable nicotinic acetylcholine receptors;	5
http://identifiers.org/reactome/R-HSA-1253288	Reactome	Downregulation of ERBB4 signaling	Downregulation of ERBB4 signaling;	10
http://pathwaycommons.org/pc2/Pathway_93179b4b3f481b3707644a93b8464aee	SMPDB	Regulation of glutamate and Dopamine release in the brain	Regulation of glutamate and Dopamine release in the brain;	2
http://identifiers.org/reactome/R-HSA-1963640	Reactome	GRB2 events in ERBB2 signaling	GRB2 events in ERBB2 signaling;	8
http://identifiers.org/reactome/R-HSA-1963642	Reactome	PI3K events in ERBB2 signaling	PI3K events in ERBB2 signaling;	13
http://pathwaycommons.org/pc2/Pathway_d9e75fb6c33197935469717fe86cc0e9	INOH	Signaling with low concentrations of Hh ( Hedgehog signaling pathway ) 	Signaling with low concentrations of Hh ( Hedgehog signaling pathway ) ;	11
http://pathwaycommons.org/pc2/Pathway_734b38657ead53b0299e9671be672445	NetPath	Wnt	Wnt;	218
http://pathwaycommons.org/pc2/Pathway_c337168f6305a92ea219aa6c57a3ba10	SMPDB	Beta Oxidation	Beta Oxidation;	2
http://identifiers.org/reactome/R-HSA-3785653	Reactome	Myoclonic epilepsy of Lafora	Myoclonic epilepsy of Lafora;	4
http://identifiers.org/reactome/R-HSA-561048	Reactome	Organic anion transport	Organic anion transport;	9
http://pathwaycommons.org/pc2/Pathway_3de6dcae736dbcaecbff6584dfc245e9	INOH	(R)-Methyl-malonyl-CoA = Succinyl-CoA ( Propanoate metabolism ) 	(R)-Methyl-malonyl-CoA = Succinyl-CoA ( Propanoate metabolism ) ;	2
http://pathwaycommons.org/pc2/Pathway_bc58d7c1e0af5d034d7fe52121fa7da6	HumanCyc	superoxide radicals degradation	"superoxide radicals degradation;""removal of superoxide radicals"";"	16
http://identifiers.org/reactome/R-HSA-5173214	Reactome	O-glycosylation of TSR domain-containing proteins	O-glycosylation of TSR domain-containing proteins;	6
http://pathwaycommons.org/pc2/Pathway_648e02cb5b0cad8e1e56e93ccccca687	INOH	NAD+ + L-2-Amino-adipate 6-semialdehyde + H2O = NADH + L-2-Amino-adipic acid ( Lysine degradation ) 	NAD+ + L-2-Amino-adipate 6-semialdehyde + H2O = NADH + L-2-Amino-adipic acid ( Lysine degradation ) ;	2
http://identifiers.org/reactome/R-HSA-5173105	Reactome	O-linked glycosylation	O-linked glycosylation;	25
http://pathwaycommons.org/pc2/Pathway_f6a38b1d59be7454ce91ceee7e5d448e	HumanCyc	molybdenum cofactor biosynthesis	"molybdenum cofactor biosynthesis;""moco biosynthesis"";""molybdopterin biosynthesis"";"	26
http://pathwaycommons.org/pc2/Pathway_e7f4207ac0db6e2812181b7e0c9a6a33	INOH	Succinyl-CoA + Acetoacetic acid = Succinic acid + Acetoacetyl-CoA ( Butanoate metabolism ) 	Succinyl-CoA + Acetoacetic acid = Succinic acid + Acetoacetyl-CoA ( Butanoate metabolism ) ;	2
http://pathwaycommons.org/pc2/Pathway_12d57991342ef11d6a7596083f93228e	HumanCyc	UDP-D-xylose and UDP-D-glucuronate biosynthesis	"UDP-glucuronic acid biosynthesis (from UDP-glucose);""UDP-D-xylose and UDP-D-glucuronate biosynthesis"";""UDP-GlcA biosynthesis"";""UDPXyl biosynthesis"";""UDP-glucuronate biosynthesis (from UDP-glucose)"";""UDP-xylose biosynthesis"";"	8
http://pathwaycommons.org/pc2/Pathway_0e1aea57b695e2ae5cff13a2b5a59670	INOH	BMP2 signaling pathway(through Smad) ( TGF-beta_BMP Diagram(MolecularVariation) ) 	BMP2 signaling pathway(through Smad) ( TGF-beta_BMP Diagram(MolecularVariation) ) ;	20
http://pathwaycommons.org/pc2/Pathway_e7040e19fdf8b91f7b53109d2513ca6f	pid	Wnt signaling network	"wnt_signaling_pathway;""Wnt signaling network"";"	54
http://pathwaycommons.org/pc2/Pathway_b459f55fd5f1db2fe042427e5c9c642d	NetPath	IL6	IL6;	154
http://pathwaycommons.org/pc2/Pathway_f77c02fc3255fe850fd2e8045d2e7bc6	pid	Trk receptor signaling mediated by the MAPK pathway	"Trk receptor signaling mediated by the MAPK pathway;""mapktrkpathway"";"	69
http://identifiers.org/reactome/R-HSA-2980736	Reactome	Peptide hormone metabolism	Peptide hormone metabolism;	10
http://identifiers.org/reactome/R-HSA-2980766	Reactome	Nuclear Envelope Breakdown	Nuclear Envelope Breakdown;	8
http://identifiers.org/reactome/R-HSA-2980767	Reactome	Activation of NIMA Kinases NEK9, NEK6, NEK7	Activation of NIMA Kinases NEK9, NEK6, NEK7;	11
http://pathwaycommons.org/pc2/Pathway_f9d2df2d118fa657799d0be4811906cf	INOH	2 Acetyl-CoA = CoA + Acetoacetyl-CoA ( Lysine degradation ) 	2 Acetyl-CoA = CoA + Acetoacetyl-CoA ( Lysine degradation ) ;	3
http://pathwaycommons.org/pc2/Pathway_fa3e94552f69e7e3a9dc99a78e330132	pid	EGFR-dependent Endothelin signaling events	"et_egfrpathway;""EGFR-dependent Endothelin signaling events"";"	12
http://pathwaycommons.org/pc2/Pathway_859db6c6b207d19469db3b0103dea639	HumanCyc	ethanol degradation IV	ethanol degradation IV;	26
http://pathwaycommons.org/pc2/Pathway_62e087863faff3e7a61f51c946991b59	INOH	ERK cascade ( Integrin signaling pathway ) 	ERK cascade ( Integrin signaling pathway ) ;	5
http://pathwaycommons.org/pc2/Pathway_674d267d64fb1295a566ff3ff5b24160	SMPDB	Beta oxidation	Beta oxidation;	2
http://pathwaycommons.org/pc2/Pathway_1b12f9b232efe3cbf680974cddf66959	INOH	NAD+ + 3,4-Dihydroxy-phenyl-acetaldehyde + H2O = NADH + 3,4-Dihydroxy-phenyl-acetic acid ( Tyrosine metabolism ) 	NAD+ + 3,4-Dihydroxy-phenyl-acetaldehyde + H2O = NADH + 3,4-Dihydroxy-phenyl-acetic acid ( Tyrosine metabolism ) ;	5
http://identifiers.org/reactome/R-HSA-1257604	Reactome	PI3K/AKT Signaling	"PI3K/AKT Signaling;""PIP3 activates AKT signaling"";"	36
